"sex","Mean_SPP","SD_SPP","Min_SPP","Max_SPP","Mean_Conscientiousness","SD_Conscientiousness","Min_Conscientiousness","Max_Conscientiousness","Mean_NegativeAffect","SD_NegativeAffect","Min_NegativeAffect","Max_NegativeAffect"
"0",4.37857142857143,1.45771810887499,1,7,4.10714285714286,1.31078095734822,0,6,2.50372023809524,0.985466739063751,1,4.83333333333333
"1",4.42105263157895,1.25944385758531,2,6.4,3.60526315789474,1.07469565935381,2,6,2.06578947368421,0.844178936406947,1,3.83333333333333
